y rho_N rho_N2 u v T
49
-2.5281663697e-02 1.0807588539e-03 2.7439758606e-02 3.6602631324e+03 -2.2616414194e+03 6.6557618036e+03
-2.4004706788e-02 1.1078150389e-03 2.8126697402e-02 3.4491111778e+03 -2.2877938142e+03 7.1561342857e+03
-2.2727749878e-02 1.1348712240e-03 2.8813636199e-02 3.2379592232e+03 -2.3139462090e+03 7.6565067678e+03
-2.1530955792e-02 1.1431217891e-03 2.9023112636e-02 3.1606424112e+03 -2.3138321041e+03 7.8395052730e+03
-2.0334161707e-02 1.1513723541e-03 2.9232589073e-02 3.0833255993e+03 -2.3137179991e+03 8.0225037783e+03
-1.9239773979e-02 1.1610792040e-03 2.9479039626e-02 2.9825398178e+03 -2.3058176743e+03 8.2609145106e+03
-1.8145386251e-02 1.1707860538e-03 2.9725490179e-02 2.8817540362e+03 -2.2979173494e+03 8.4993252429e+03
-1.7118356901e-02 1.1783712659e-03 2.9918073739e-02 2.7944214255e+03 -2.2838379985e+03 8.7058070923e+03
-1.6091327551e-02 1.1859564780e-03 3.0110657300e-02 2.7070888148e+03 -2.2697586476e+03 8.9122889416e+03
-1.5101286972e-02 1.1968018153e-03 3.0386013303e-02 2.5666751769e+03 -2.2323155648e+03 9.2441022110e+03
-1.4111246392e-02 1.2076471526e-03 3.0661369306e-02 2.4262615389e+03 -2.1948724821e+03 9.5759154803e+03
-1.3127678973e-02 1.2185634807e-03 3.0938527717e-02 2.2625119838e+03 -2.1256375394e+03 9.9626613781e+03
-1.2144111554e-02 1.2294798087e-03 3.1215686128e-02 2.0987624288e+03 -2.0564025967e+03 1.0349407276e+04
-1.1156168424e-02 1.2384305411e-03 3.1442939354e-02 1.9437101801e+03 -1.9601363773e+03 1.0715444455e+04
-1.0168225295e-02 1.2473812735e-03 3.1670192580e-02 1.7886579314e+03 -1.8638701580e+03 1.1081481635e+04
-9.1667166834e-03 1.2566160725e-03 3.1904658069e-02 1.6042667811e+03 -1.6945614255e+03 1.1516612718e+04
-8.1652080719e-03 1.2658508714e-03 3.2139123558e-02 1.4198756307e+03 -1.5252526929e+03 1.1951743802e+04
-7.1499605735e-03 1.2713726408e-03 3.2279317662e-02 1.2953081117e+03 -1.3536710957e+03 1.2245617420e+04
