# New shock contour after Vs displacement (dt=1.474312e-06, relax=0.5)
# max|Vs|=67.83 m/s, max|displacement|=0.000050 m
# x  y  x_old  y_old  Vs  dx  dy
25
-1.547692630434e-03 -2.531969297463e-02 -1.515244295480e-03 -2.528166369740e-02 6.781630e+01 -3.244833e-05 -3.802928e-05
-4.247292874834e-03 -2.270432659746e-02 -4.271101773360e-03 -2.272774987780e-02 -4.530832e+01 2.380890e-05 2.342328e-05
-6.557169610850e-03 -2.033423954900e-02 -6.557085276540e-03 -2.033416170650e-02 1.556904e-01 -8.433431e-08 -7.784250e-08
-8.504015149433e-03 -1.814993782142e-02 -8.498650825380e-03 -1.814538625060e-02 9.543582e+00 -5.364324e-06 -4.551571e-06
-1.021135141227e-02 -1.611565234857e-02 -1.018045551482e-02 -1.609132755120e-02 5.334340e+01 -3.089590e-05 -2.432480e-05
-1.168201477094e-02 -1.413518582310e-02 -1.164750793755e-02 -1.411124639195e-02 5.697278e+01 -3.450683e-05 -2.393943e-05
-1.293416401206e-02 -1.215889374506e-02 -1.290906769025e-02 -1.214411155385e-02 3.951165e+01 -2.509632e-05 -1.478219e-05
-1.399914696620e-02 -1.018002092972e-02 -1.397508990270e-02 -1.016822529493e-02 3.634681e+01 -2.405706e-05 -1.179563e-05
-1.483098944258e-02 -8.165149952706e-03 -1.483114834375e-02 -8.165208071940e-03 -2.295259e-01 1.589012e-07 5.811923e-08
-1.547463732011e-02 -6.134955927036e-03 -1.547372941460e-02 -6.134713075130e-03 1.274932e+00 -9.079055e-07 -2.428519e-07
-1.593397763032e-02 -4.095787627481e-03 -1.593096148805e-02 -4.095241694130e-03 4.158077e+00 -3.016142e-06 -5.459334e-07
-1.620963760039e-02 -2.049985105416e-03 -1.620974792565e-02 -2.049995228550e-03 -1.502921e-01 1.103253e-07 1.012313e-08
-1.631189627698e-02 1.088425335775e-06 -1.631926002395e-02 9.770448550000e-07 -9.990542e+00 7.363747e-06 1.113805e-07
-1.622194461705e-02 2.050615572480e-03 -1.622527760890e-02 2.050972273405e-03 -4.547239e+00 3.332992e-06 -3.567009e-07
-1.593461311528e-02 4.095902652702e-03 -1.593096148805e-02 4.095241694130e-03 5.034162e+00 -3.651627e-06 6.609586e-07
-1.547451010124e-02 6.134921897785e-03 -1.547372941460e-02 6.134713075130e-03 1.096284e+00 -7.806866e-07 2.088227e-07
-1.483122261369e-02 8.165235236698e-03 -1.483114834375e-02 8.165208071940e-03 1.072797e-01 -7.426994e-08 2.716476e-08
-1.399942306865e-02 1.018015630799e-02 -1.397508990270e-02 1.016822529493e-02 3.676396e+01 -2.433317e-05 1.193101e-05
-1.293434989414e-02 1.215900323299e-02 -1.290906769025e-02 1.214411155385e-02 3.980430e+01 -2.528220e-05 1.489168e-05
-1.168212202696e-02 1.413526023294e-02 -1.164750793755e-02 1.411124639195e-02 5.714987e+01 -3.461409e-05 2.401384e-05
-1.021139977273e-02 1.611569042347e-02 -1.018045551482e-02 1.609132755120e-02 5.342690e+01 -3.094426e-05 2.436287e-05
-8.504036097796e-03 1.814995559588e-02 -8.498650825380e-03 1.814538625060e-02 9.580851e+00 -5.385272e-06 4.569345e-06
-6.557180673066e-03 2.033424975968e-02 -6.557085276540e-03 2.033416170650e-02 1.761125e-01 -9.539653e-08 8.805318e-08
-4.247298667856e-03 2.270433229666e-02 -4.271101773360e-03 2.272774987780e-02 -4.529730e+01 2.380311e-05 -2.341758e-05
-1.547698340457e-03 2.531969966660e-02 -1.515244295480e-03 2.528166369725e-02 6.782824e+01 -3.245404e-05 3.803597e-05
