# New shock contour (moved by Vs, for hornung_shockfitted_v2_mesh.py)
# Source: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
# dt=1.474312e-06, relax=0.5, max|Vs|=67.83 m/s
# x[m]  y[m]  theta[rad]  r[m]
-1.547698340457e-03 2.531969966660e-02 1.631846617849e+00 2.536695806280e-02
-4.247298667856e-03 2.270433229666e-02 1.755728815257e+00 2.309818718019e-02
-6.557180673066e-03 2.033424975968e-02 1.882738012430e+00 2.136535353483e-02
-8.504036097796e-03 1.814995559588e-02 2.008963228630e+00 2.004344077461e-02
-1.021139977273e-02 1.611569042347e-02 2.135578086262e+00 1.907847381589e-02
-1.168212202696e-02 1.413526023294e-02 2.261460053868e+00 1.833787220224e-02
-1.293434989414e-02 1.215900323299e-02 2.387083150350e+00 1.775214823068e-02
-1.399942306865e-02 1.018015630799e-02 2.512854409381e+00 1.730951844247e-02
-1.483122261369e-02 8.165235236698e-03 2.638332158937e+00 1.693033463011e-02
-1.547451010124e-02 6.134921897785e-03 2.764147438091e+00 1.664625271842e-02
-1.593461311528e-02 4.095902652702e-03 2.889995059129e+00 1.645260811161e-02
-1.622194461705e-02 2.050615572480e-03 3.015849620220e+00 1.635104007043e-02
-1.631189627698e-02 1.088425335775e-06 3.141525927728e+00 1.631189631330e-02
-1.620963760039e-02 -2.049985105416e-03 -3.015793437383e+00 1.633875117836e-02
-1.593397763032e-02 -4.095787627481e-03 -2.889992214409e+00 1.645196399866e-02
-1.547463732011e-02 -6.134955927036e-03 -2.764148354338e+00 1.664638352362e-02
-1.483098944258e-02 -8.165149952706e-03 -2.638329929489e+00 1.693008923769e-02
-1.399914696620e-02 -1.018002092972e-02 -2.512851353623e+00 1.730921551980e-02
-1.293416401206e-02 -1.215889374506e-02 -2.387080472179e+00 1.775193780393e-02
-1.168201477094e-02 -1.413518582310e-02 -2.261458130364e+00 1.833774651810e-02
-1.021135141227e-02 -1.611565234857e-02 -2.135577013246e+00 1.907841576979e-02
-8.504015149433e-03 -1.814993782142e-02 -2.008962658466e+00 2.004341579131e-02
-6.557169610850e-03 -2.033423954900e-02 -1.882737666326e+00 2.136534042185e-02
-4.247292874834e-03 -2.270432659746e-02 -1.755728614103e+00 2.309818051295e-02
-1.547692630434e-03 -2.531969297463e-02 -1.631846409267e+00 2.536695103492e-02
