# Shock contour (moved by Vs, iteration 1)
# Source: P1_CNEQ_SF-iter_5000.CFmesh + R-H shock velocity
# 25 points
# x[m]  y[m]  theta[rad]  r[m]
-1.547695485445e-03 2.531969632062e-02 1.631846513558e+00 2.536695454886e-02
-4.247295771345e-03 2.270432944706e-02 1.755728714680e+00 2.309818384657e-02
-6.557175141958e-03 2.033424465434e-02 1.882737839378e+00 2.136534697834e-02
-8.504025623614e-03 1.814994670865e-02 2.008962943548e+00 2.004342828295e-02
-1.021137559250e-02 1.611567138602e-02 2.135577549755e+00 1.907844479284e-02
-1.168206839895e-02 1.413522302802e-02 2.261459092119e+00 1.833780936016e-02
-1.293425695310e-02 1.215894848903e-02 2.387081811272e+00 1.775204301729e-02
-1.399928501743e-02 1.018008861886e-02 2.512852881515e+00 1.730936698112e-02
-1.483110602813e-02 8.165192594702e-03 2.638331044221e+00 1.693021193388e-02
-1.547457371068e-02 6.134938912410e-03 2.764147896217e+00 1.664631812102e-02
-1.593429537280e-02 4.095845140091e-03 2.889993636797e+00 1.645228605511e-02
-1.621579110872e-02 2.050300338948e-03 3.015821539362e+00 1.634489561795e-02
-1.631189627698e-02 1.088425335775e-06 3.141525927728e+00 1.631189631329e-02
-1.621579110872e-02 -2.050300338948e-03 -3.015821539362e+00 1.634489561795e-02
-1.593429537280e-02 -4.095845140091e-03 -2.889993636797e+00 1.645228605511e-02
-1.547457371068e-02 -6.134938912410e-03 -2.764147896217e+00 1.664631812102e-02
-1.483110602813e-02 -8.165192594702e-03 -2.638331044221e+00 1.693021193388e-02
-1.399928501743e-02 -1.018008861886e-02 -2.512852881515e+00 1.730936698112e-02
-1.293425695310e-02 -1.215894848903e-02 -2.387081811272e+00 1.775204301729e-02
-1.168206839895e-02 -1.413522302802e-02 -2.261459092119e+00 1.833780936016e-02
-1.021137559250e-02 -1.611567138602e-02 -2.135577549755e+00 1.907844479284e-02
-8.504025623614e-03 -1.814994670865e-02 -2.008962943548e+00 2.004342828295e-02
-6.557175141958e-03 -2.033424465434e-02 -1.882737839378e+00 2.136534697834e-02
-4.247295771345e-03 -2.270432944706e-02 -1.755728714680e+00 2.309818384657e-02
-1.547695485445e-03 -2.531969632062e-02 -1.631846513558e+00 2.536695454886e-02
