Shock Velocity Report
Input: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
dt=1.474312e-06, relax=0.5
max|Vs|=67.83 m/s
mean|Vs|=25.82 m/s

 fi        y       Vs   mflux_fs  mflux_int   imbal%  rho_int  u_n_int   T_int
  0  -0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -597.0    6847
  1  -0.0227    -45.3    -20.527    -21.596      5.2%  0.02874   -751.5    7564
  2  -0.0203      0.2    -21.159    -21.156     -0.0%  0.02997   -705.8    8010
  3  -0.0181      9.5    -21.957    -21.706     -1.1%  0.03145   -690.1    8447
  4  -0.0161     53.3    -22.625    -21.127     -6.6%  0.03323   -635.8    8909
  5  -0.0141     57.0    -23.659    -21.997     -7.0%  0.03432   -641.0    9510
  6  -0.0121     39.5    -24.811    -23.639     -4.7%  0.03481   -679.2   10150
  7  -0.0102     36.3    -25.855    -24.763     -4.2%  0.03519   -703.7   10779
  8  -0.0082     -0.2    -27.043    -27.050      0.0%  0.03520   -768.5   11411
  9  -0.0061      1.3    -27.817    -27.778     -0.1%  0.03574   -777.2   11866
 10  -0.0041      4.2    -28.335    -28.206     -0.5%  0.03623   -778.6   12167
 11  -0.0020     -0.2    -28.675    -28.679      0.0%  0.03632   -789.6   12360
 12   0.0000    -10.0    -28.792    -29.101      1.1%  0.03608   -806.7   12438
 13   0.0021     -4.5    -28.632    -28.772      0.5%  0.03599   -799.5   12346
 14   0.0041      5.0    -28.335    -28.178     -0.6%  0.03633   -775.6   12163
 15   0.0061      1.1    -27.817    -27.784     -0.1%  0.03573   -777.7   11866
 16   0.0082      0.1    -27.043    -27.040     -0.0%  0.03522   -767.8   11411
 17   0.0102     36.8    -25.855    -24.749     -4.3%  0.03521   -702.9   10779
 18   0.0121     39.8    -24.811    -23.630     -4.8%  0.03482   -678.7   10150
 19   0.0141     57.1    -23.659    -21.992     -7.0%  0.03432   -640.7    9510
 20   0.0161     53.4    -22.625    -21.124     -6.6%  0.03323   -635.6    8909
 21   0.0181      9.6    -21.957    -21.705     -1.1%  0.03146   -690.0    8447
 22   0.0203      0.2    -21.159    -21.155     -0.0%  0.02998   -705.7    8010
 23   0.0227    -45.3    -20.527    -21.595      5.2%  0.02874   -751.4    7564
 24   0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -596.9    6847
