# New shock contour after Vs displacement (dt=1.474312e-06, relax=0.5)
# max|Vs|=67.83 m/s, max|displacement|=0.000050 m
# x  y  x_old  y_old  Vs  dx  dy
25
-1.547695485445e-03 -2.531969632062e-02 -1.515244295480e-03 -2.528166369740e-02 6.781630e+01 -3.244833e-05 -3.802928e-05
-4.247349324994e-03 -2.270438213333e-02 -4.271101773360e-03 -2.272774987780e-02 -4.264472e+01 2.240921e-05 2.204626e-05
-6.557196505394e-03 -2.033426437329e-02 -6.557085276540e-03 -2.033416170650e-02 8.784901e-01 -4.758600e-07 -4.392297e-07
-8.504034037013e-03 -1.814995384733e-02 -8.498650825380e-03 -1.814538625060e-02 9.706000e+00 -5.455617e-06 -4.629032e-06
-1.021138676989e-02 -1.611568018615e-02 -1.018045551482e-02 -1.609132755120e-02 5.438881e+01 -3.150138e-05 -2.480151e-05
-1.168207426619e-02 -1.413522709847e-02 -1.164750793755e-02 -1.411124639195e-02 6.050278e+01 -3.664485e-05 -2.542270e-05
-1.293426580366e-02 -1.215895370217e-02 -1.290906769025e-02 -1.214411155385e-02 4.357498e+01 -2.767720e-05 -1.630237e-05
-1.399931037721e-02 -1.018010105324e-02 -1.397508990270e-02 -1.016822529493e-02 4.275597e+01 -2.829913e-05 -1.387560e-05
-1.483115397197e-02 -8.165210130501e-03 -1.483114834375e-02 -8.165208071940e-03 5.829754e+00 -4.035948e-06 -1.476177e-06
-1.547464099306e-02 -6.134956909499e-03 -1.547372941460e-02 -6.134713075130e-03 6.367286e+00 -4.534275e-06 -1.212855e-06
-1.593461625455e-02 -4.095903220921e-03 -1.593096148805e-02 -4.095241694130e-03 9.228572e+00 -6.694124e-06 -1.211662e-06
-1.621555260109e-02 -2.050246025378e-03 -1.620974792565e-02 -2.049995228550e-03 4.988192e+00 -3.661694e-06 -3.359867e-07
-1.630838213383e-02 1.141578568265e-06 -1.631926002395e-02 9.770448550000e-07 -1.475825e+01 1.087789e-05 1.645337e-07
-1.621555260109e-02 2.050246025378e-03 -1.622527760890e-02 2.050972273405e-03 -1.034425e+01 7.582027e-06 -8.114379e-07
-1.593461625455e-02 4.095903220921e-03 -1.593096148805e-02 4.095241694130e-03 8.484075e-01 -6.154089e-07 1.113914e-07
-1.547464099306e-02 6.134956909499e-03 -1.547372941460e-02 6.134713075130e-03 -3.807105e+00 2.711118e-06 -7.251858e-07
-1.483115397197e-02 8.165210130501e-03 -1.483114834375e-02 8.165208071940e-03 -5.813494e+00 4.024692e-06 -1.472060e-06
-1.399931037721e-02 1.018010105324e-02 -1.397508990270e-02 1.016822529493e-02 3.043142e+01 -2.014182e-05 9.875914e-06
-1.293426580366e-02 1.215895370217e-02 -1.290906769025e-02 1.214411155385e-02 3.576884e+01 -2.271903e-05 1.338192e-05
-1.168207426619e-02 1.413522709847e-02 -1.164750793755e-02 1.411124639195e-02 5.363924e+01 -3.248780e-05 2.253871e-05
-1.021138676989e-02 1.611568018615e-02 -1.018045551482e-02 1.609132755120e-02 5.242009e+01 -3.036113e-05 2.390376e-05
-8.504034037013e-03 1.814995384733e-02 -8.498650825380e-03 1.814538625060e-02 9.448369e+00 -5.310806e-06 4.506161e-06
-6.557196505394e-03 2.033426437329e-02 -6.557085276540e-03 2.033416170650e-02 -4.678086e-01 2.534023e-07 -2.338961e-07
-4.247349324994e-03 2.270438213333e-02 -4.271101773360e-03 2.272774987780e-02 -4.775708e+01 2.509568e-05 -2.468922e-05
-1.547695485445e-03 2.531969632062e-02 -1.515244295480e-03 2.528166369725e-02 6.782824e+01 -3.245404e-05 3.803597e-05
