# New shock contour (moved by Vs, for hornung_shockfitted_v2_mesh.py)
# Source: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
# dt=1.474312e-06, relax=0.5, max|Vs|=67.83 m/s
# x[m]  y[m]  theta[rad]  r[m]
-1.547695485445e-03 2.531969632062e-02 1.631846513558e+00 2.536695454886e-02
-4.247349324994e-03 2.270438213333e-02 1.755730574238e+00 2.309824548196e-02
-6.557196505394e-03 2.033426437329e-02 1.882738507775e+00 2.136537230223e-02
-8.504034037013e-03 1.814995384733e-02 2.008963172541e+00 2.004343831689e-02
-1.021138676989e-02 1.611568018615e-02 2.135577797757e+00 1.907845820884e-02
-1.168207426619e-02 1.413522709847e-02 2.261459197341e+00 1.833781623548e-02
-1.293426580366e-02 1.215895370217e-02 2.387081938791e+00 1.775205303652e-02
-1.399931037721e-02 1.018010105324e-02 2.512853162184e+00 1.730939480431e-02
-1.483115397197e-02 8.165210130501e-03 2.638331502631e+00 1.693026239063e-02
-1.547464099306e-02 6.134956909499e-03 2.764148380791e+00 1.664638730012e-02
-1.593461625455e-02 4.095903220921e-03 2.889995073181e+00 1.645261129350e-02
-1.621555260109e-02 2.050246025378e-03 3.015823005665e+00 1.634465218117e-02
-1.630838213383e-02 1.141578568265e-06 3.141522654092e+00 1.630838217378e-02
-1.621555260109e-02 -2.050246025378e-03 -3.015823005665e+00 1.634465218117e-02
-1.593461625455e-02 -4.095903220921e-03 -2.889995073181e+00 1.645261129350e-02
-1.547464099306e-02 -6.134956909499e-03 -2.764148380791e+00 1.664638730012e-02
-1.483115397197e-02 -8.165210130501e-03 -2.638331502631e+00 1.693026239063e-02
-1.399931037721e-02 -1.018010105324e-02 -2.512853162184e+00 1.730939480431e-02
-1.293426580366e-02 -1.215895370217e-02 -2.387081938791e+00 1.775205303652e-02
-1.168207426619e-02 -1.413522709847e-02 -2.261459197341e+00 1.833781623548e-02
-1.021138676989e-02 -1.611568018615e-02 -2.135577797757e+00 1.907845820884e-02
-8.504034037013e-03 -1.814995384733e-02 -2.008963172541e+00 2.004343831689e-02
-6.557196505394e-03 -2.033426437329e-02 -1.882738507775e+00 2.136537230223e-02
-4.247349324994e-03 -2.270438213333e-02 -1.755730574238e+00 2.309824548196e-02
-1.547695485445e-03 -2.531969632062e-02 -1.631846513558e+00 2.536695454886e-02
