Shock Velocity Report
Input: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
dt=1.474312e-06, relax=0.5
max|Vs|=67.83 m/s
mean|Vs|=27.28 m/s

 fi        y       Vs   mflux_fs  mflux_int   imbal%  rho_int  u_n_int   T_int
  0  -0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -597.0    6847
  1  -0.0227    -42.6    -20.527    -21.520      4.8%  0.02843   -756.8    7586
  2  -0.0203      0.9    -21.159    -21.138     -0.1%  0.02977   -710.0    8019
  3  -0.0181      9.7    -21.957    -21.703     -1.2%  0.03132   -692.9    8445
  4  -0.0161     54.4    -22.625    -21.105     -6.7%  0.03308   -637.9    8905
  5  -0.0141     60.5    -23.659    -21.898     -7.4%  0.03426   -639.1    9492
  6  -0.0121     43.6    -24.811    -23.515     -5.2%  0.03490   -673.7   10098
  7  -0.0102     42.8    -25.855    -24.560     -5.0%  0.03542   -693.5   10691
  8  -0.0082      5.8    -27.043    -26.866     -0.7%  0.03552   -756.4   11276
  9  -0.0061      6.4    -27.817    -27.620     -0.7%  0.03616   -763.9   11687
 10  -0.0041      9.2    -28.335    -28.043     -1.0%  0.03672   -763.7   11957
 11  -0.0020      5.0    -28.675    -28.517     -0.6%  0.03683   -774.2   12132
 12   0.0000    -14.8    -28.792    -29.248      1.6%  0.03603   -811.7   12435
 13   0.0021    -10.3    -28.632    -28.946      1.1%  0.03551   -815.1   12567
 14   0.0041      0.8    -28.335    -28.309     -0.1%  0.03583   -790.1   12374
 15   0.0061     -3.8    -27.817    -27.932      0.4%  0.03531   -791.1   12045
 16   0.0082     -5.8    -27.043    -27.216      0.6%  0.03489   -780.0   11547
 17   0.0102     30.4    -25.855    -24.947     -3.5%  0.03498   -713.1   10867
 18   0.0121     35.8    -24.811    -23.753     -4.3%  0.03472   -684.1   10203
 19   0.0141     53.6    -23.659    -22.091     -6.6%  0.03438   -642.6    9528
 20   0.0161     52.4    -22.625    -21.145     -6.5%  0.03338   -633.4    8914
 21   0.0181      9.4    -21.957    -21.707     -1.1%  0.03159   -687.1    8448
 22   0.0203     -0.5    -21.159    -21.171      0.1%  0.03018   -701.5    8001
 23   0.0227    -47.8    -20.527    -21.668      5.6%  0.02904   -746.1    7541
 24   0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -596.9    6847
