# New shock contour (moved by Vs, for hornung_shockfitted_v2_mesh.py)
# Source: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
# dt=1.474312e-06, relax=0.5, max|Vs|=67.83 m/s
# x[m]  y[m]  theta[rad]  r[m]
-1.547695485445e-03 2.531969632062e-02 1.631846513558e+00 2.536695454886e-02
-4.247456556292e-03 2.270448762787e-02 1.755734297630e+00 2.309836889570e-02
-6.557239735514e-03 2.033430427568e-02 1.882739860309e+00 2.136542354658e-02
-8.504051027443e-03 1.814996826353e-02 2.008963634979e+00 2.004345857990e-02
-1.021140724998e-02 1.611569631043e-02 2.135578252166e+00 1.907848279070e-02
-1.168208073638e-02 1.413523158722e-02 2.261459313376e+00 1.833782381733e-02
-1.293427612799e-02 1.215895978339e-02 2.387082087542e+00 1.775206472411e-02
-1.399935338389e-02 1.018012214023e-02 2.512853638156e+00 1.730944198861e-02
-1.483124719837e-02 8.165244228722e-03 2.638332393997e+00 1.693036050336e-02
-1.547479343268e-02 6.134997684943e-03 2.764149478661e+00 1.664654403707e-02
-1.593499903537e-02 4.095972505722e-03 2.889996786573e+00 1.645299927140e-02
-1.621552587476e-02 2.050220931773e-03 3.015824323707e+00 1.634462251825e-02
-1.630580986941e-02 1.180485397667e-06 3.141520256977e+00 1.630580991215e-02
-1.621552587476e-02 -2.050220931773e-03 -3.015824323707e+00 1.634462251825e-02
-1.593499903537e-02 -4.095972505722e-03 -2.889996786573e+00 1.645299927140e-02
-1.547479343268e-02 -6.134997684943e-03 -2.764149478661e+00 1.664654403707e-02
-1.483124719837e-02 -8.165244228722e-03 -2.638332393997e+00 1.693036050336e-02
-1.399935338389e-02 -1.018012214023e-02 -2.512853638156e+00 1.730944198861e-02
-1.293427612799e-02 -1.215895978339e-02 -2.387082087542e+00 1.775206472411e-02
-1.168208073638e-02 -1.413523158722e-02 -2.261459313376e+00 1.833782381733e-02
-1.021140724998e-02 -1.611569631043e-02 -2.135578252166e+00 1.907848279070e-02
-8.504051027443e-03 -1.814996826353e-02 -2.008963634979e+00 2.004345857990e-02
-6.557239735514e-03 -2.033430427568e-02 -1.882739860309e+00 2.136542354658e-02
-4.247456556292e-03 -2.270448762787e-02 -1.755734297630e+00 2.309836889570e-02
-1.547695485445e-03 -2.531969632062e-02 -1.631846513558e+00 2.536695454886e-02
