# New shock contour after Vs displacement (dt=6.418191e-07, relax=0.5)
# max|Vs|=155.81 m/s, max|displacement|=0.000050 m
# x  y  x_old  y_old  Vs  dx  dy
25
-1.529370177256e-03 -2.529821915625e-02 -1.515244295480e-03 -2.528166369740e-02 6.781630e+01 -1.412588e-05 -1.655546e-05
-4.285613247607e-03 -2.274202631856e-02 -4.271101773360e-03 -2.272774987780e-02 6.343473e+01 -1.451147e-05 -1.427644e-05
-6.575694852175e-03 -2.035133877189e-02 -6.557085276540e-03 -2.033416170650e-02 7.891708e+01 -1.860958e-05 -1.717707e-05
-8.520443514496e-03 -1.816387711113e-02 -8.498650825380e-03 -1.814538625060e-02 8.906028e+01 -2.179269e-05 -1.849086e-05
-1.021667635349e-02 -1.611984475361e-02 -1.018045551482e-02 -1.609132755120e-02 1.436532e+02 -3.622084e-05 -2.851720e-05
-1.168858962146e-02 -1.413974718575e-02 -1.164750793755e-02 -1.411124639195e-02 1.558072e+02 -4.108168e-05 -2.850079e-05
-1.294774333446e-02 -1.216689221359e-02 -1.290906769025e-02 -1.214411155385e-02 1.398716e+02 -3.867564e-05 -2.278066e-05
-1.401363601396e-02 -1.018712518481e-02 -1.397508990270e-02 -1.016822529493e-02 1.337769e+02 -3.854611e-05 -1.889989e-05
-1.485965095624e-02 -8.175633105489e-03 -1.483114834375e-02 -8.165208071940e-03 9.457277e+01 -2.850261e-05 -1.042503e-05
-1.549446134208e-02 -6.140258573028e-03 -1.547372941460e-02 -6.134713075130e-03 6.687488e+01 -2.073193e-05 -5.545498e-06
-1.594605636964e-02 -4.097973925747e-03 -1.593096148805e-02 -4.095241694130e-03 4.780214e+01 -1.509488e-05 -2.732232e-06
-1.621642204324e-02 -2.050607626691e-03 -1.620974792565e-02 -2.049995228550e-03 2.088487e+01 -6.674118e-06 -6.123981e-07
-1.631343908475e-02 1.065089570460e-06 -1.631926002395e-02 9.770448550000e-07 -1.814095e+01 5.820939e-06 8.804472e-08
-1.621995153933e-02 2.050402270827e-03 -1.622527760890e-02 2.050972273405e-03 -1.669157e+01 5.326070e-06 -5.700026e-07
-1.591880122234e-02 4.093040639273e-03 -1.593096148805e-02 4.095241694130e-03 -3.850886e+01 1.216027e-05 -2.201055e-06
-1.545402980282e-02 6.129443707107e-03 -1.547372941460e-02 6.134713075130e-03 -6.354494e+01 1.969961e-05 -5.269368e-06
-1.480264779826e-02 8.154783794409e-03 -1.483114834375e-02 8.165208071940e-03 -9.456591e+01 2.850055e-05 -1.042428e-05
-1.395757458169e-02 1.015963720063e-02 -1.397508990270e-02 1.016822529493e-02 -6.078810e+01 1.751532e-05 -8.588094e-06
-1.289227428999e-02 1.213421993485e-02 -1.290906769025e-02 1.214411155385e-02 -6.073381e+01 1.679340e-05 -9.891619e-06
-1.163646289567e-02 1.410358379317e-02 -1.164750793755e-02 1.411124639195e-02 -4.188963e+01 1.104504e-05 -7.662599e-06
-1.017121740930e-02 1.608405425399e-02 -1.018045551482e-02 1.609132755120e-02 -3.663867e+01 9.238106e-06 -7.273297e-06
-8.481600186735e-03 1.813091896850e-02 -8.498650825380e-03 1.814538625060e-02 -6.968092e+01 1.705064e-05 -1.446728e-05
-6.538591200400e-03 2.031709124979e-02 -6.557085276540e-03 2.033416170650e-02 -7.842728e+01 1.849408e-05 -1.707046e-05
-4.235886295099e-03 2.269310476313e-02 -4.271101773360e-03 2.272774987780e-02 -1.539392e+02 3.521548e-05 -3.464511e-05
-1.529372663026e-03 2.529822206942e-02 -1.515244295480e-03 2.528166369725e-02 6.782824e+01 -1.412837e-05 1.655837e-05
