Shock Velocity Report
Input: RESULTS_SF_v2_RH_dirichlet_2/P1_CNEQ_SF-iter_5000.CFmesh
dt=6.418191e-07, relax=0.5
max|Vs|=155.81 m/s
mean|Vs|=76.15 m/s

 fi        y       Vs   mflux_fs  mflux_int   imbal%  rho_int  u_n_int   T_int
  0  -0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -597.0    6847
  1  -0.0227     63.4    -20.527    -19.027     -7.3%  0.02881   -660.4    7866
  2  -0.0203     78.9    -21.159    -19.151     -9.5%  0.03061   -625.6    8222
  3  -0.0181     89.1    -21.957    -19.546    -11.0%  0.03222   -606.7    8658
  4  -0.0161    143.7    -22.625    -18.469    -18.4%  0.03409   -541.8    9167
  5  -0.0141    155.8    -23.659    -19.043    -19.5%  0.03478   -547.6    9823
  6  -0.0121    139.9    -24.811    -20.595    -17.0%  0.03529   -583.5   10457
  7  -0.0102    133.8    -25.855    -21.797    -15.7%  0.03549   -614.2   11088
  8  -0.0082     94.6    -27.043    -24.163    -10.6%  0.03563   -678.1   11671
  9  -0.0061     66.9    -27.817    -25.744     -7.5%  0.03622   -710.8   12030
 10  -0.0041     47.8    -28.335    -26.837     -5.3%  0.03661   -733.0   12272
 11  -0.0020     20.9    -28.675    -28.029     -2.3%  0.03633   -771.6   12416
 12   0.0000    -18.1    -28.792    -29.355      2.0%  0.03601   -815.3   12433
 13   0.0021    -16.7    -28.632    -29.153      1.8%  0.03612   -807.1   12287
 14   0.0041    -38.5    -28.335    -29.522      4.2%  0.03589   -822.6   12065
 15   0.0061    -63.5    -27.817    -29.735      6.9%  0.03529   -842.7   11702
 16   0.0082    -94.6    -27.043    -29.847     10.4%  0.03478   -858.1   11152
 17   0.0102    -60.8    -25.855    -27.664      7.0%  0.03491   -792.4   10470
 18   0.0121    -60.7    -24.811    -26.583      7.1%  0.03433   -774.4    9844
 19   0.0141    -41.9    -23.659    -24.862      5.1%  0.03386   -734.2    9197
 20   0.0161    -36.6    -22.625    -23.622      4.4%  0.03238   -729.6    8651
 21   0.0181    -69.7    -21.957    -23.737      8.1%  0.03069   -773.4    8235
 22   0.0203    -78.4    -21.159    -23.058      9.0%  0.02934   -786.0    7798
 23   0.0227   -153.9    -20.527    -24.150     17.7%  0.02867   -842.5    7261
 24   0.0253     67.8    -18.690    -17.097     -8.5%  0.02864   -596.9    6847
