y rho_N rho_N2 u v T Tv
25
-2.5281663697e-02 1.0848924206e-03 2.7540237409e-02 3.6587086133e+03 -2.2634633075e+03 6.6364755528e+03 1833.0
-2.2727749878e-02 1.1417294091e-03 2.8983057111e-02 3.2351001480e+03 -2.3167589774e+03 7.6205305199e+03 1833.0
-2.0334161707e-02 1.1594658322e-03 2.9433300188e-02 3.0798328866e+03 -2.3169418531e+03 7.9783727730e+03 1833.0
-1.8145386251e-02 1.1807248181e-03 2.9972964313e-02 2.8772766644e+03 -2.3017163508e+03 8.4424824052e+03 1833.0
-1.6091327551e-02 1.1977415026e-03 3.0404936665e-02 2.7015879234e+03 -2.2740895808e+03 8.8421939712e+03 1833.0
-1.4111246392e-02 1.2229617482e-03 3.1045158258e-02 2.4187172216e+03 -2.2001064212e+03 9.4792755897e+03 1833.0
-1.2144111554e-02 1.2499217947e-03 3.1729545083e-02 2.0880875371e+03 -2.0626903026e+03 1.0211932029e+04 1833.0
-1.0168225295e-02 1.2738085693e-03 3.2335916215e-02 1.7741347404e+03 -1.8709911542e+03 1.0893599189e+04 1833.0
-8.1652080719e-03 1.3009275651e-03 3.3024338005e-02 1.3994914960e+03 -1.5327083354e+03 1.1686747693e+04 1833.0
-6.1347130751e-03 1.3187676281e-03 3.3477212004e-02 1.1455394692e+03 -1.1888304431e+03 1.2210862751e+04 1833.0
-4.0952416941e-03 1.3308362898e-03 3.3783577689e-02 9.7135732569e+02 -8.3599208573e+02 1.2563804721e+04 1833.0
-2.0499952285e-03 1.3388407196e-03 3.3986771936e-02 8.5500256654e+02 -4.3446996347e+02 1.2796577018e+04 1833.0
9.7704485500e-07 1.3416148463e-03 3.4057193762e-02 8.1454386652e+02 -7.2231243488e+01 1.2876953365e+04 1833.0
2.0509722734e-03 1.3378236540e-03 3.3960953497e-02 8.6981933813e+02 5.0515959493e+02 1.2767068973e+04 1833.0
4.0952416941e-03 1.3308362898e-03 3.3783577689e-02 9.7135732569e+02 8.3599208573e+02 1.2563804721e+04 1833.0
6.1347130751e-03 1.3187676281e-03 3.3477212004e-02 1.1455394692e+03 1.1888304431e+03 1.2210862751e+04 1833.0
8.1652080719e-03 1.3009275651e-03 3.3024338005e-02 1.3994914960e+03 1.5327083354e+03 1.1686747693e+04 1833.0
1.0168225295e-02 1.2738085693e-03 3.2335916215e-02 1.7741347404e+03 1.8709911542e+03 1.0893599189e+04 1833.0
1.2144111554e-02 1.2499217947e-03 3.1729545083e-02 2.0880875371e+03 2.0626903026e+03 1.0211932029e+04 1833.0
1.4111246392e-02 1.2229617482e-03 3.1045158258e-02 2.4187172216e+03 2.2001064212e+03 9.4792755897e+03 1833.0
1.6091327551e-02 1.1977415026e-03 3.0404936665e-02 2.7015879234e+03 2.2740895808e+03 8.8421939712e+03 1833.0
1.8145386251e-02 1.1807248181e-03 2.9972964313e-02 2.8772766644e+03 2.3017163508e+03 8.4424824052e+03 1833.0
2.0334161707e-02 1.1594658322e-03 2.9433300188e-02 3.0798328866e+03 2.3169418531e+03 7.9783727730e+03 1833.0
2.2727749878e-02 1.1417294091e-03 2.8983057111e-02 3.2351001480e+03 2.3167589774e+03 7.6205305199e+03 1833.0
2.5281663697e-02 1.0848924205e-03 2.7540237408e-02 3.6587086136e+03 2.2634633075e+03 6.6364755522e+03 1833.0
